variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,variable ranking,include,correlate_exclude,low_loading_exclude
tmax1,0,0,0,0,0,0,0.250596002,0.010281092,TRUE,FALSE,FALSE
tmax2,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE
tmax3,0,0.414969097,0,0.45678719,0.27716255,0,0,0.153073633,TRUE,FALSE,FALSE
tmax4,0,0.36488091,0,0.432557742,0,0,0,0.11619127,FALSE,TRUE,FALSE
q1,0.527955324,0,0,0,0.450975813,0,0,0.195632047,TRUE,FALSE,FALSE
q2,0.486039724,0,0,0,0.396205442,0,0,0.178380092,FALSE,TRUE,FALSE
w11,0,0.327412203,0,0.472826242,0.388277002,0,0,0.14961219,TRUE,FALSE,FALSE
w12,0,0.303767848,0,0.477687052,0.346598191,0,0,0.142238913,FALSE,TRUE,FALSE
ns1,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE
ns2,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE
tmean1,0,0,0,0,0,0,0.362300625,0.014863948,FALSE,TRUE,FALSE
tmean2,0,0,0,0,0,0,0.432078204,0.017726683,TRUE,FALSE,FALSE
w21,0.218852835,0,0.651581899,0,0,0,0,0.15072295,TRUE,FALSE,FALSE
w22,0,0,0.570175567,0,0,0,0,0.07576625,FALSE,TRUE,FALSE
nsoil1,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE
nsoil2,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE
tmin1,0,0.278175963,0,0,0,0,0.330413633,0.062670905,FALSE,TRUE,FALSE
tmin2,0,0,0,0,0,0,0.388004124,0.015918475,TRUE,FALSE,FALSE
tmin3,0.318164176,0.384999521,0.238681245,0,0.26995669,0,0.309042952,0.230101436,TRUE,FALSE,FALSE
tmin4,0.319032144,0.320771974,0.24645929,0,0.248600768,0,0.337938143,0.219297724,FALSE,TRUE,FALSE
tmean21,0,0,0,0,0,0.615076548,0,0.033514802,FALSE,TRUE,FALSE
tmean22,0,0,0,0,0,0.664074083,0,0.03618462,TRUE,FALSE,FALSE
PC weight,0.293070173,0.176561516,0.132882316,0.119677302,0.090701293,0.054488831,0.04102656,,,,
